customer_id,first_name,last_name,email,phone,address,city,state,zip_code,registration_date,is_active,total_orders,lifetime_value,avg_order_value,last_order_date,days_since_last_order,customer_tier
496,Priya,Joshi,priya.joshi496@email.com,918550904983,957 Main Street,Mumbai,Maharashtra,431845,2025-12-05,True,3,14144.7,4714.900000000001,2026-03-06 12:31:44,45,Silver
463,Pooja,Joshi,pooja.joshi463@email.com,918390081665,721 Main Street,Bangalore,Karnataka,406849,2025-06-27,True,4,16905.24,4226.31,2026-04-08 12:31:44,12,Silver
148,Rahul,Patel,rahul.patel148@email.com,917558841618,570 Main Street,Kolkata,West Bengal,162894,2024-08-27,True,8,38105.22,4763.1525,2026-04-10 12:31:44,10,Gold
471,Kavita,Mehta,kavita.mehta471@email.com,918969024554,651 Main Street,Delhi,Delhi,796405,2024-05-05,True,2,9910.130000000001,4955.0650000000005,2026-02-24 12:31:44,55,Bronze
833,Priya,Joshi,priya.joshi833@email.com,918460142398,970 Main Street,Chennai,Tamil Nadu,222692,2024-11-10,True,3,18830.32,6276.7733333333335,2026-03-13 12:31:44,38,Silver
858,Sneha,Kumar,sneha.kumar858@email.com,919031463806,826 Main Street,Bangalore,Karnataka,110215,2025-10-21,True,5,22706.82,4541.364,2026-03-28 12:31:44,23,Gold
623,Rohan,Singh,rohan.singh623@email.com,919780475472,231 Main Street,Hyderabad,Telangana,810614,2025-09-20,True,5,20777.92,4155.584,2026-04-15 12:31:44,5,Gold
897,Raj,Nair,raj.nair897@email.com,918468504537,431 Main Street,Hyderabad,Telangana,426711,2024-11-25,True,3,8430.18,2810.06,2026-04-05 12:31:44,15,Bronze
243,Pooja,Kumar,pooja.kumar243@email.com,918593280440,381 Main Street,Ahmedabad,Gujarat,565504,2026-01-31,True,3,8486.21,2828.736666666666,2026-04-02 12:31:44,18,Bronze
392,Amit,Mehta,amit.mehta392@email.com,917330444012,307 Main Street,Pune,Maharashtra,270341,2024-09-19,True,2,6124.24,3062.12,2026-04-10 12:31:44,10,Bronze
737,Anjali,Gupta,anjali.gupta737@email.com,918260892281,224 Main Street,Kolkata,West Bengal,889216,2024-07-25,True,2,9971.5,4985.75,2026-03-12 12:31:44,39,Bronze
540,Divya,Joshi,divya.joshi540@email.com,917406841968,474 Main Street,Hyderabad,Telangana,206857,2025-11-27,True,3,11516.93,3838.976666666667,2026-03-31 12:31:44,20,Silver
516,Rahul,Singh,rahul.singh516@email.com,918066282253,427 Main Street,Kolkata,West Bengal,855276,2025-05-27,True,7,21289.28,3041.325714285714,2026-04-02 12:31:44,18,Gold
31,Karan,Verma,karan.verma31@email.com,919311435034,794 Main Street,Lucknow,Uttar Pradesh,606983,2024-12-29,True,10,39228.96000000001,3922.8960000000006,2026-04-14 12:31:44,6,Gold
251,Divya,Agarwal,divya.agarwal251@email.com,918552597094,521 Main Street,Bangalore,Karnataka,335134,2025-12-16,True,4,10935.310000000001,2733.8275000000003,2026-04-06 12:31:44,14,Silver
808,Pooja,Patel,pooja.patel808@email.com,917575023565,261 Main Street,Pune,Maharashtra,600318,2025-08-24,True,2,4983.75,2491.875,2026-04-14 12:31:44,6,Bronze
580,Vikram,Sharma,vikram.sharma580@email.com,918121534958,975 Main Street,Kolkata,West Bengal,209812,2026-02-03,True,5,14619.119999999999,2923.8239999999996,2026-04-03 12:31:44,17,Silver
85,Neha,Joshi,neha.joshi85@email.com,918482296058,341 Main Street,Ahmedabad,Gujarat,678727,2024-10-10,True,2,12908.95,6454.475,2026-03-02 12:31:44,49,Silver
137,Arjun,Chopra,arjun.chopra137@email.com,918941348507,516 Main Street,Delhi,Delhi,332311,2024-07-29,True,5,16739.079999999998,3347.816,2026-02-21 12:31:44,58,Silver
451,Arjun,Malhotra,arjun.malhotra451@email.com,918757218651,702 Main Street,Ahmedabad,Gujarat,615611,2025-02-18,True,4,12591.230000000001,3147.8075000000003,2026-04-20 12:31:44,0,Silver
458,Rohan,Singh,rohan.singh458@email.com,917138428506,461 Main Street,Chennai,Tamil Nadu,375581,2025-04-28,True,6,24295.539999999997,4049.256666666666,2026-03-26 12:31:44,25,Gold
883,Vikram,Gupta,vikram.gupta883@email.com,919317856944,233 Main Street,Ahmedabad,Gujarat,943797,2026-01-18,True,7,21117.939999999995,3016.8485714285707,2026-03-23 12:31:44,28,Gold
879,Raj,Sharma,raj.sharma879@email.com,918396729008,885 Main Street,Kolkata,West Bengal,599284,2024-12-27,True,4,8787.46,2196.865,2026-04-08 12:31:44,12,Bronze
65,Priya,Chopra,priya.chopra65@email.com,918855548990,753 Main Street,Mumbai,Maharashtra,437978,2024-08-09,True,3,8050.51,2683.5033333333336,2026-03-14 12:31:44,37,Bronze
53,Pooja,Mehta,pooja.mehta53@email.com,917969318858,795 Main Street,Lucknow,Uttar Pradesh,647957,2025-03-26,True,8,16362.22,2045.2775,2026-04-07 12:31:44,13,Silver
588,Kavita,Malhotra,kavita.malhotra588@email.com,919062994753,205 Main Street,Lucknow,Uttar Pradesh,201698,2026-03-24,True,9,36798.2,4088.6888888888884,2026-04-20 12:31:44,0,Gold
481,Priya,Sharma,priya.sharma481@email.com,919047869247,80 Main Street,Hyderabad,Telangana,239145,2024-08-20,True,7,26639.69,3805.6699999999996,2026-04-13 12:31:44,7,Gold
255,Arjun,Reddy,arjun.reddy255@email.com,919469178881,76 Main Street,Pune,Maharashtra,231414,2025-05-30,True,7,14265.99,2037.9985714285715,2026-04-15 12:31:44,5,Silver
898,Anjali,Nair,anjali.nair898@email.com,918418407139,83 Main Street,Mumbai,Maharashtra,984522,2025-11-21,True,6,26977.03,4496.171666666666,2026-04-14 12:31:44,6,Gold
970,Neha,Chopra,neha.chopra970@email.com,919985307816,716 Main Street,Bangalore,Karnataka,800722,2026-04-01,True,8,27452.72,3431.59,2026-04-10 12:31:44,10,Gold
804,Neha,Malhotra,neha.malhotra804@email.com,919591903901,553 Main Street,Bangalore,Karnataka,967719,2026-04-18,True,3,19431.190000000002,6477.063333333334,2026-03-25 12:31:44,26,Silver
799,Vikram,Kumar,vikram.kumar799@email.com,918947639426,611 Main Street,Kolkata,West Bengal,719284,2026-02-08,True,2,4676.219999999999,2338.1099999999997,2026-04-10 12:31:44,10,Bronze
472,Anjali,Shah,anjali.shah472@email.com,919295335613,408 Main Street,Delhi,Delhi,328411,2025-02-04,True,4,12746.029999999999,3186.5074999999997,2026-04-10 12:31:44,10,Silver
133,Amit,Joshi,amit.joshi133@email.com,917749459431,113 Main Street,Chennai,Tamil Nadu,793169,2026-03-24,True,8,48336.86000000001,6042.107500000001,2026-04-15 12:31:44,5,Gold
853,Arjun,Verma,arjun.verma853@email.com,918157099546,483 Main Street,Hyderabad,Telangana,742865,2025-05-03,True,4,15342.779999999999,3835.6949999999997,2026-02-15 12:31:44,64,Silver
296,Rohan,Chopra,rohan.chopra296@email.com,917267496095,723 Main Street,Ahmedabad,Gujarat,244789,2024-11-04,True,3,8056.66,2685.5533333333333,2026-02-19 12:31:44,60,Bronze
322,Rohan,Verma,rohan.verma322@email.com,918296847488,597 Main Street,Kolkata,West Bengal,857997,2024-09-10,True,4,24463.62,6115.905,2026-04-12 12:31:44,8,Gold
78,Arjun,Reddy,arjun.reddy78@email.com,917965081954,862 Main Street,Delhi,Delhi,218972,2025-01-02,True,7,21966.260000000002,3138.037142857143,2026-04-03 12:31:44,17,Gold
513,Divya,Patel,divya.patel513@email.com,919185386258,3 Main Street,Hyderabad,Telangana,146177,2026-04-07,True,8,27431.47,3428.93375,2026-04-01 12:31:44,19,Gold
918,Amit,Nair,amit.nair918@email.com,918131076509,555 Main Street,Chennai,Tamil Nadu,484945,2025-01-10,True,3,9349.2,3116.4,2026-03-31 12:31:44,20,Bronze
321,Sanjay,Singh,sanjay.singh321@email.com,918120064235,393 Main Street,Mumbai,Maharashtra,346961,2025-01-17,True,6,22093.1,3682.183333333333,2026-03-28 12:31:44,23,Gold
857,Divya,Verma,divya.verma857@email.com,919385167359,443 Main Street,Hyderabad,Telangana,997904,2025-03-25,True,6,30808.239999999998,5134.706666666666,2026-04-19 12:31:44,1,Gold
974,Anjali,Shah,anjali.shah974@email.com,917081940786,300 Main Street,Delhi,Delhi,780956,2025-03-20,True,4,21297.72,5324.43,2026-04-03 12:31:44,17,Gold
362,Divya,Malhotra,divya.malhotra362@email.com,917932078864,491 Main Street,Jaipur,Rajasthan,319036,2025-05-14,True,4,15805.150000000001,3951.2875000000004,2026-04-12 12:31:44,8,Silver
633,Rohan,Shah,rohan.shah633@email.com,918735589535,677 Main Street,Lucknow,Uttar Pradesh,435109,2024-05-22,True,4,20406.79,5101.6975,2026-03-17 12:31:44,34,Gold
613,Pooja,Malhotra,pooja.malhotra613@email.com,917807177651,453 Main Street,Delhi,Delhi,321659,2025-02-27,True,6,19067.58,3177.9300000000003,2026-04-09 12:31:44,11,Silver
