customer_id,first_name,last_name,email,phone,address,city,state,zip_code,registration_date,is_active
1,Pooja,Shah,pooja.shah1@email.com,918832837596,851 Main Street,Jaipur,Rajasthan,674485,2025-01-18,True
2,Sanjay,Kumar,sanjay.kumar2@email.com,918933034905,266 Main Street,Ahmedabad,Gujarat,888295,2025-08-09,True
3,Kavita,Malhotra,kavita.malhotra3@email.com,919238965651,497 Main Street,Chennai,Tamil Nadu,757193,2025-08-18,True
4,Vikram,Nair,vikram.nair4@email.com,918227193073,241 Main Street,Delhi,Delhi,384913,2025-05-11,True
5,Anjali,Joshi,anjali.joshi5@email.com,917594312071,155 Main Street,Delhi,Delhi,342495,2025-03-23,True
6,Divya,Kumar,divya.kumar6@email.com,917275860817,425 Main Street,Hyderabad,Telangana,527398,2025-05-16,True
7,Arjun,Nair,arjun.nair7@email.com,917267429212,212 Main Street,Pune,Maharashtra,973349,2025-02-13,True
8,Rahul,Mehta,rahul.mehta8@email.com,919987248494,21 Main Street,Lucknow,Uttar Pradesh,998348,2024-09-07,True
9,Rahul,Nair,rahul.nair9@email.com,918510792572,306 Main Street,Mumbai,Maharashtra,890075,2025-03-16,True
10,Kavita,Shah,kavita.shah10@email.com,919311639723,766 Main Street,Pune,Maharashtra,870319,2024-10-07,True
11,Rohan,Chopra,rohan.chopra11@email.com,919096929657,225 Main Street,Hyderabad,Telangana,386193,2025-01-28,True
12,Neha,Sharma,neha.sharma12@email.com,918443665390,685 Main Street,Pune,Maharashtra,812131,2025-03-01,True
13,Divya,Kumar,divya.kumar13@email.com,917548157187,638 Main Street,Ahmedabad,Gujarat,660069,2026-03-23,True
14,Sanjay,Reddy,sanjay.reddy14@email.com,919424045110,679 Main Street,Lucknow,Uttar Pradesh,128418,2026-01-24,True
15,Karan,Reddy,karan.reddy15@email.com,918982979741,187 Main Street,Bangalore,Karnataka,152727,2025-07-27,True
16,Rahul,Gupta,rahul.gupta16@email.com,918952918745,335 Main Street,Hyderabad,Telangana,453894,2025-03-27,True
17,Vikram,Mehta,vikram.mehta17@email.com,918083497965,855 Main Street,Pune,Maharashtra,185884,2024-12-24,True
18,Raj,Agarwal,raj.agarwal18@email.com,917223705953,975 Main Street,Jaipur,Rajasthan,466960,2025-09-02,True
19,Karan,Patel,karan.patel19@email.com,917133272825,973 Main Street,Mumbai,Maharashtra,359295,2025-09-27,True
20,Kavita,Sharma,kavita.sharma20@email.com,917654477195,245 Main Street,Lucknow,Uttar Pradesh,232352,2024-12-21,True
21,Karan,Patel,karan.patel21@email.com,917936150587,477 Main Street,Lucknow,Uttar Pradesh,833442,2025-07-31,True
22,Rohan,Gupta,rohan.gupta22@email.com,919602289301,622 Main Street,Bangalore,Karnataka,884256,2025-12-23,True
23,Rohan,Shah,rohan.shah23@email.com,918335901990,111 Main Street,Bangalore,Karnataka,706794,2026-03-24,True
24,Sanjay,Verma,sanjay.verma24@email.com,919909184445,930 Main Street,Lucknow,Uttar Pradesh,493537,2025-03-09,True
25,Divya,Singh,divya.singh25@email.com,919543040948,708 Main Street,Delhi,Delhi,970917,2024-07-16,True
26,Sneha,Patel,sneha.patel26@email.com,919938870196,615 Main Street,Chennai,Tamil Nadu,944657,2025-12-17,True
27,Rohan,Chopra,rohan.chopra27@email.com,918491228808,546 Main Street,Mumbai,Maharashtra,549186,2024-06-11,True
28,Anjali,Patel,anjali.patel28@email.com,919781177100,350 Main Street,Jaipur,Rajasthan,113266,2025-02-13,True
29,Kavita,Nair,kavita.nair29@email.com,918861968817,984 Main Street,Delhi,Delhi,479781,2024-07-08,True
30,Sanjay,Shah,sanjay.shah30@email.com,917657091982,446 Main Street,Ahmedabad,Gujarat,284692,2024-11-01,True
31,Karan,Verma,karan.verma31@email.com,919311435034,794 Main Street,Lucknow,Uttar Pradesh,606983,2024-12-29,True
32,Rahul,Shah,rahul.shah32@email.com,918152750071,331 Main Street,Lucknow,Uttar Pradesh,993085,2025-08-11,True
33,Kavita,Patel,kavita.patel33@email.com,918936179853,250 Main Street,Chennai,Tamil Nadu,886931,2024-12-30,True
34,Pooja,Chopra,pooja.chopra34@email.com,918444812497,30 Main Street,Pune,Maharashtra,618317,2025-05-22,True
35,Amit,Nair,amit.nair35@email.com,918523961606,817 Main Street,Hyderabad,Telangana,370902,2025-05-06,True
36,Vikram,Chopra,vikram.chopra36@email.com,919387104291,11 Main Street,Chennai,Tamil Nadu,641722,2025-10-06,True
37,Priya,Singh,priya.singh37@email.com,919098425880,569 Main Street,Pune,Maharashtra,894993,2025-08-16,True
38,Divya,Nair,divya.nair38@email.com,918924895021,812 Main Street,Ahmedabad,Gujarat,118080,2026-01-14,True
39,Vikram,Singh,vikram.singh39@email.com,919971203213,250 Main Street,Pune,Maharashtra,421080,2024-06-09,True
40,Pooja,Gupta,pooja.gupta40@email.com,919377148230,544 Main Street,Ahmedabad,Gujarat,460455,2025-02-08,True
41,Divya,Joshi,divya.joshi41@email.com,918511014697,720 Main Street,Kolkata,West Bengal,575786,2025-07-16,True
