personnel_id,first_name,last_name,phone,vehicle_type,license_number,rating,total_deliveries,status,hired_date,is_active
1,Manoj,Prasad,+919626393424,Van,DL722650,4.3,706,offline,2024-01-06,True
2,Ravi,Das,+917469509900,Car,DL579094,4.74,93,available,2024-10-06,True
3,Deepak,Roy,+917168584421,Van,DL506216,4.27,695,available,2025-09-08,True
4,Vijay,Prasad,+918709568319,Scooter,DL911259,4.74,522,available,2025-01-13,True
5,Vijay,Das,+917234276135,Van,DL249149,4.2,711,busy,2025-12-19,True
6,Suresh,Singh,+919514478795,Van,DL241879,4.09,381,busy,2026-02-24,True
7,Anil,Prasad,+919535385657,Bicycle,DL576769,3.64,381,offline,2024-05-26,True
8,Anil,Roy,+917530618370,Motorcycle,DL219710,4.56,699,busy,2025-12-24,True
9,Deepak,Roy,+919197590676,Van,DL267666,4.07,439,available,2024-01-25,True
10,Anil,Yadav,+919428767813,Bicycle,DL269999,4.8,233,offline,2026-01-28,True
11,Deepak,Yadav,+918329370993,Car,DL402808,4.44,170,available,2025-08-26,True
12,Ravi,Das,+918087103368,Motorcycle,DL580921,4.25,560,offline,2023-12-16,True
13,Ravi,Das,+919119423746,Bicycle,DL327408,4.38,537,busy,2025-01-26,True
14,Ramesh,Kumar,+919582205491,Van,DL106892,3.87,610,busy,2024-06-25,True
15,Prakash,Kumar,+917793881710,Bicycle,DL157738,4.48,87,available,2023-10-29,True
16,Ravi,Roy,+919482889288,Van,DL412938,4.0,139,available,2025-11-30,True
17,Deepak,Singh,+917692929517,Scooter,DL740774,4.49,766,offline,2024-08-12,True
18,Anil,Prasad,+919486641280,Scooter,DL137581,3.64,356,busy,2025-03-09,True
19,Deepak,Sharma,+917290626163,Car,DL984274,4.33,349,busy,2025-11-04,True
20,Suresh,Roy,+918178618666,Scooter,DL652654,4.12,264,offline,2025-08-19,True
21,Ravi,Kumar,+919454002884,Van,DL191928,4.23,755,offline,2023-08-08,True
22,Vijay,Prasad,+919614967674,Scooter,DL372273,4.29,688,busy,2023-08-15,True
23,Anil,Das,+919416496073,Car,DL644951,4.59,559,busy,2023-12-15,True
24,Anil,Das,+917999531839,Scooter,DL302957,3.5,74,busy,2024-06-19,True
25,Suresh,Roy,+917890479160,Van,DL534773,4.12,391,busy,2024-08-25,True
26,Prakash,Kumar,+919751434706,Bicycle,DL823535,3.92,859,available,2025-05-10,True
27,Vijay,Das,+919362204542,Scooter,DL904291,3.51,752,busy,2025-04-06,True
28,Deepak,Roy,+919443499414,Van,DL130531,4.75,248,busy,2023-11-19,True
29,Manoj,Roy,+919057754346,Car,DL935981,3.55,189,busy,2025-10-13,True
30,Ramesh,Sharma,+919306258033,Scooter,DL584935,4.68,473,offline,2026-01-23,True
31,Vijay,Das,+919912836638,Scooter,DL682145,4.3,263,offline,2024-04-19,True
32,Manoj,Sharma,+918518681304,Motorcycle,DL256557,3.92,81,busy,2025-03-02,True
33,Anil,Das,+919601414829,Car,DL296481,4.39,935,busy,2024-03-29,True
34,Manoj,Roy,+917135842149,Scooter,DL533973,3.63,948,available,2025-03-06,True
35,Ramesh,Sharma,+918299780396,Bicycle,DL650607,3.95,164,busy,2024-01-08,True
36,Ravi,Sharma,+917868006057,Motorcycle,DL565330,4.26,868,busy,2023-09-07,True
37,Anil,Singh,+918460786685,Car,DL868020,4.81,367,busy,2025-10-26,True
38,Suresh,Sharma,+919216832856,Bicycle,DL315154,4.59,520,busy,2024-03-21,True
39,Suresh,Kumar,+918335654591,Motorcycle,DL820426,4.77,942,available,2025-04-14,True
40,Ramesh,Kumar,+917442823293,Van,DL903398,4.49,369,available,2024-08-07,True
41,Vijay,Roy,+917901280364,Scooter,DL310297,3.79,333,offline,2025-04-29,True
42,Ramesh,Roy,+917505306513,Scooter,DL256574,3.74,167,available,2024-06-22,True
43,Suresh,Singh,+919330143102,Scooter,DL676051,3.98,194,offline,2023-12-19,True
44,Vijay,Das,+918051515688,Bicycle,DL174703,3.97,963,busy,2024-09-14,True
45,Ramesh,Kumar,+917558663601,Motorcycle,DL593602,4.85,101,available,2025-02-22,True
46,Ravi,Kumar,+918831656441,Car,DL287677,4.56,962,offline,2024-06-15,True
47,Ramesh,Das,+918527394794,Scooter,DL448475,4.73,780,offline,2023-12-14,True
48,Suresh,Sharma,+919000146357,Van,DL238197,3.64,871,offline,2024-11-27,True
49,Suresh,Prasad,+918333122138,Car,DL593403,3.85,279,available,2023-10-22,True
50,Vijay,Yadav,+918683957564,Bicycle,DL833599,4.88,388,busy,2024-12-12,True
