order_id,customer_id,order_date,total_amount,discount_amount,tax_amount,final_amount,payment_method,payment_status,order_status,delivery_address,delivery_city,delivery_zip,special_instructions
1,500,2026-04-17 12:31:44,810.87,56.1,37.74,792.51,Debit Card,completed,processing,434 Main Street,Jaipur,835901,Call on arrival
2,589,2026-04-04 12:31:44,9051.39,215.9,441.77,9277.26,Cash on Delivery,completed,pending,485 Main Street,Chennai,984756,
3,214,2026-01-22 12:31:44,8543.05,394.73,407.42,8555.74,Cash on Delivery,pending,delivered,460 Main Street,Bangalore,745239,
4,702,2026-02-03 12:31:44,4148.69,281.89,193.34,4060.14,UPI,completed,delivered,261 Main Street,Pune,740524,Call on arrival
5,458,2026-03-26 12:31:44,1717.28,255.09,73.11,1535.3,Net Banking,pending,delivered,461 Main Street,Chennai,375581,Call on arrival
6,414,2026-04-04 12:31:44,2843.56,100.34,137.16,2880.38,Net Banking,completed,cancelled,182 Main Street,Ahmedabad,517584,
7,729,2026-03-03 12:31:44,4753.67,205.69,227.4,4775.38,Debit Card,pending,pending,123 Main Street,Bangalore,495521,
8,664,2026-04-18 12:31:44,2393.27,49.26,117.2,2461.21,Cash on Delivery,completed,cancelled,431 Main Street,Mumbai,793805,Call on arrival
9,953,2026-02-25 12:31:44,10585.58,1471.23,455.72,9570.07,Net Banking,completed,pending,335 Main Street,Lucknow,626806,
10,582,2026-02-18 12:31:44,7455.35,995.19,323.01,6783.17,Credit Card,pending,out_for_delivery,629 Main Street,Kolkata,606186,
11,701,2026-01-29 12:31:44,5818.66,146.2,283.62,5956.08,Net Banking,failed,processing,47 Main Street,Kolkata,272129,Call on arrival
12,267,2026-04-13 12:31:44,5077.33,191.96,244.27,5129.64,Net Banking,completed,processing,465 Main Street,Pune,176517,
13,15,2026-04-06 12:31:44,6977.39,787.85,309.48,6499.02,Cash on Delivery,completed,confirmed,187 Main Street,Bangalore,152727,Leave at door
14,744,2026-01-29 12:31:44,2216.65,251.2,98.27,2063.72,Credit Card,pending,confirmed,8 Main Street,Jaipur,757386,Leave at door
15,409,2026-02-19 12:31:44,4683.35,611.37,203.6,4275.58,Credit Card,completed,out_for_delivery,496 Main Street,Pune,920685,Leave at door
16,695,2026-03-11 12:31:44,7317.03,848.58,323.42,6791.87,Debit Card,failed,cancelled,571 Main Street,Pune,675771,Call on arrival
17,789,2026-03-27 12:31:44,2197.75,83.04,105.74,2220.45,Credit Card,pending,delivered,154 Main Street,Chennai,295984,
18,59,2026-02-03 12:31:44,2283.61,224.84,102.94,2161.71,Net Banking,pending,pending,704 Main Street,Ahmedabad,344762,
19,260,2026-03-14 12:31:44,4551.35,227.1,216.21,4540.46,Credit Card,completed,processing,651 Main Street,Chennai,677599,
20,452,2026-04-12 12:31:44,7946.03,123.11,391.15,8214.07,Credit Card,pending,delivered,172 Main Street,Ahmedabad,186686,
21,796,2026-02-22 12:31:44,110.34,10.81,4.98,104.51,Credit Card,pending,cancelled,460 Main Street,Delhi,735988,Leave at door
22,273,2026-04-01 12:31:44,4025.45,2.0,201.17,4224.62,Cash on Delivery,pending,delivered,255 Main Street,Lucknow,267457,Call on arrival
23,958,2026-03-06 12:31:44,2916.19,283.36,131.64,2764.47,Debit Card,failed,pending,134 Main Street,Pune,899049,Leave at door
24,677,2026-03-27 12:31:44,4422.84,92.84,216.5,4546.5,Debit Card,pending,cancelled,900 Main Street,Lucknow,868677,Call on arrival
25,245,2026-02-17 12:31:44,5479.86,333.32,257.33,5403.87,Debit Card,failed,cancelled,754 Main Street,Delhi,295085,Call on arrival
26,470,2026-01-24 12:31:44,3607.37,489.52,155.89,3273.74,Credit Card,completed,delivered,336 Main Street,Ahmedabad,710224,
27,856,2026-02-04 12:31:44,405.24,48.58,17.83,374.49,Debit Card,pending,confirmed,235 Main Street,Lucknow,953740,Leave at door
28,346,2026-01-24 12:31:44,3479.92,63.03,170.84,3587.73,Debit Card,completed,confirmed,212 Main Street,Mumbai,170559,
29,567,2026-03-30 12:31:44,7855.02,1045.01,340.5,7150.51,Cash on Delivery,failed,out_for_delivery,711 Main Street,Bangalore,743520,
30,212,2026-04-02 12:31:44,4947.64,532.27,220.77,4636.14,Net Banking,pending,cancelled,954 Main Street,Mumbai,203896,
31,357,2026-02-26 12:31:44,717.44,20.65,34.84,731.63,Net Banking,pending,delivered,937 Main Street,Bangalore,160423,
32,884,2026-02-10 12:31:44,4258.53,277.66,199.04,4179.91,UPI,failed,out_for_delivery,267 Main Street,Kolkata,263281,
33,107,2026-04-14 12:31:44,8275.53,404.84,393.53,8264.22,Credit Card,pending,cancelled,764 Main Street,Mumbai,620856,Leave at door
34,891,2026-03-26 12:31:44,4061.88,83.11,198.94,4177.71,Debit Card,failed,processing,665 Main Street,Chennai,879015,
35,208,2026-03-09 12:31:44,1093.43,139.68,47.69,1001.44,Cash on Delivery,completed,confirmed,86 Main Street,Delhi,900185,
36,226,2026-03-14 12:31:44,9310.6,346.12,448.22,9412.7,Cash on Delivery,failed,confirmed,347 Main Street,Kolkata,953025,Call on arrival
37,969,2026-04-01 12:31:44,5010.42,713.94,214.82,4511.3,Debit Card,completed,processing,769 Main Street,Jaipur,371222,
38,664,2026-04-09 12:31:44,354.12,8.59,17.28,362.81,Cash on Delivery,failed,cancelled,431 Main Street,Mumbai,793805,Call on arrival
39,25,2026-02-21 12:31:44,4719.2,209.95,225.46,4734.71,UPI,failed,delivered,708 Main Street,Delhi,970917,Call on arrival
40,590,2026-03-25 12:31:44,407.49,31.46,18.8,394.83,UPI,pending,pending,501 Main Street,Pune,793150,Leave at door
41,375,2026-02-20 12:31:44,9549.76,1078.89,423.54,8894.41,Debit Card,completed,processing,968 Main Street,Mumbai,957730,
42,516,2026-01-23 12:31:44,5090.59,686.81,220.19,4623.97,Cash on Delivery,failed,processing,427 Main Street,Kolkata,855276,
43,193,2026-02-21 12:31:44,2803.06,402.91,120.01,2520.16,Credit Card,pending,confirmed,145 Main Street,Lucknow,466813,
44,115,2026-01-21 12:31:44,2553.64,112.3,122.07,2563.41,Net Banking,pending,out_for_delivery,881 Main Street,Bangalore,809176,
45,431,2026-02-23 12:31:44,509.06,4.81,25.21,529.46,Debit Card,failed,cancelled,357 Main Street,Jaipur,599292,
46,422,2026-02-05 12:31:44,4115.95,554.59,178.07,3739.43,UPI,pending,processing,429 Main Street,Jaipur,670053,
47,496,2026-03-04 12:31:44,4722.37,202.06,226.02,4746.33,Debit Card,failed,cancelled,957 Main Street,Mumbai,431845,
48,166,2026-03-21 12:31:44,1747.67,115.58,81.6,1713.69,UPI,pending,confirmed,336 Main Street,Chennai,225812,Call on arrival
49,725,2026-04-16 12:31:44,2338.19,269.54,103.43,2172.08,Cash on Delivery,completed,confirmed,762 Main Street,Mumbai,363550,
50,994,2026-02-10 12:31:44,6764.78,118.6,332.31,6978.49,Credit Card,completed,delivered,515 Main Street,Ahmedabad,987240,
51,457,2026-03-06 12:31:44,769.46,67.34,35.11,737.23,Debit Card,completed,confirmed,754 Main Street,Pune,970392,
52,86,2026-02-11 12:31:44,6521.33,361.57,307.99,6467.75,UPI,pending,processing,715 Main Street,Kolkata,350405,
53,360,2026-03-12 12:31:44,5315.61,114.53,260.05,5461.13,UPI,completed,delivered,275 Main Street,Hyderabad,495489,
54,68,2026-02-04 12:31:44,6523.74,814.44,285.46,5994.76,UPI,failed,out_for_delivery,186 Main Street,Ahmedabad,713762,
55,843,2026-03-13 12:31:44,4687.19,537.66,207.48,4357.01,Cash on Delivery,pending,delivered,208 Main Street,Hyderabad,975498,
56,596,2026-02-18 12:31:44,6673.17,357.73,315.77,6631.21,Credit Card,completed,processing,704 Main Street,Pune,597889,Leave at door
57,652,2026-03-06 12:31:44,763.59,60.66,35.15,738.08,Credit Card,failed,confirmed,19 Main Street,Jaipur,809621,
58,784,2026-04-08 12:31:44,9779.3,604.35,458.75,9633.7,Debit Card,pending,confirmed,558 Main Street,Chennai,697856,
59,516,2026-03-23 12:31:44,2820.44,176.57,132.19,2776.06,Credit Card,pending,confirmed,427 Main Street,Kolkata,855276,
60,492,2026-03-07 12:31:44,3515.78,15.17,175.03,3675.64,Credit Card,pending,confirmed,292 Main Street,Lucknow,916808,
61,705,2026-03-22 12:31:44,3488.34,396.28,154.6,3246.66,Credit Card,pending,pending,675 Main Street,Ahmedabad,717942,
62,813,2026-01-26 12:31:44,8068.94,811.66,362.86,7620.14,Credit Card,pending,confirmed,579 Main Street,Jaipur,483405,
63,972,2026-02-05 12:31:44,5024.21,398.55,231.28,4856.94,Debit Card,completed,confirmed,55 Main Street,Lucknow,587546,Call on arrival
64,5,2026-04-08 12:31:44,4207.68,114.14,204.68,4298.22,UPI,completed,out_for_delivery,155 Main Street,Delhi,342495,
65,527,2026-03-22 12:31:44,9593.56,118.36,473.76,9948.96,Cash on Delivery,pending,out_for_delivery,718 Main Street,Jaipur,490586,
66,468,2026-02-03 12:31:44,4503.08,634.31,193.44,4062.21,UPI,pending,pending,463 Main Street,Pune,179184,Leave at door
67,689,2026-04-07 12:31:44,5918.43,865.75,252.63,5305.31,UPI,pending,delivered,659 Main Street,Mumbai,264550,Leave at door
68,126,2026-03-22 12:31:44,7376.88,565.9,340.55,7151.53,Debit Card,completed,pending,455 Main Street,Kolkata,566297,
69,257,2026-02-17 12:31:44,4553.96,424.86,206.46,4335.56,Credit Card,pending,cancelled,602 Main Street,Jaipur,290802,Call on arrival
70,786,2026-02-16 12:31:44,4778.69,274.99,225.19,4728.89,UPI,completed,out_for_delivery,529 Main Street,Pune,525556,Leave at door
71,37,2026-04-16 12:31:44,2431.76,49.06,119.14,2501.84,Cash on Delivery,completed,pending,569 Main Street,Pune,894993,Call on arrival
72,692,2026-02-17 12:31:44,9107.06,437.8,433.46,9102.72,Credit Card,failed,pending,837 Main Street,Pune,346415,
73,858,2026-03-05 12:31:44,3410.09,338.23,153.59,3225.45,Debit Card,pending,cancelled,826 Main Street,Bangalore,110215,
74,607,2026-04-10 12:31:44,853.99,2.53,42.57,894.03,UPI,pending,out_for_delivery,39 Main Street,Lucknow,280564,Leave at door
75,582,2026-02-14 12:31:44,6654.85,99.88,327.75,6882.72,Debit Card,completed,out_for_delivery,629 Main Street,Kolkata,606186,Call on arrival
76,831,2026-01-25 12:31:44,4535.61,32.34,225.16,4728.43,Net Banking,completed,confirmed,953 Main Street,Hyderabad,523579,Call on arrival
77,761,2026-04-09 12:31:44,8141.95,506.0,381.8,8017.75,UPI,failed,delivered,473 Main Street,Mumbai,775990,Leave at door
78,688,2026-02-09 12:31:44,3401.09,337.12,153.2,3217.17,Cash on Delivery,completed,cancelled,860 Main Street,Pune,966582,Call on arrival
79,829,2026-02-01 12:31:44,3753.03,356.87,169.81,3565.97,Cash on Delivery,completed,processing,563 Main Street,Delhi,398313,
80,263,2026-01-23 12:31:44,6578.18,28.76,327.47,6876.89,UPI,failed,delivered,863 Main Street,Lucknow,690996,
81,660,2026-04-15 12:31:44,4110.62,575.24,176.77,3712.15,Net Banking,failed,delivered,898 Main Street,Mumbai,771425,Call on arrival
82,258,2026-02-16 12:31:44,2630.96,129.95,125.05,2626.06,Net Banking,failed,out_for_delivery,531 Main Street,Mumbai,260448,
83,958,2026-02-25 12:31:44,4225.53,546.93,183.93,3862.53,Credit Card,completed,delivered,134 Main Street,Pune,899049,
84,717,2026-04-06 12:31:44,4337.3,419.89,195.87,4113.28,Net Banking,pending,cancelled,766 Main Street,Pune,982260,
85,708,2026-01-25 12:31:44,3513.17,281.88,161.56,3392.85,Debit Card,completed,out_for_delivery,107 Main Street,Bangalore,506224,
86,932,2026-03-01 12:31:44,2502.26,330.1,108.61,2280.77,Cash on Delivery,pending,processing,395 Main Street,Hyderabad,298663,
87,843,2026-02-17 12:31:44,5759.46,391.58,268.39,5636.27,Credit Card,pending,cancelled,208 Main Street,Hyderabad,975498,
88,646,2026-02-23 12:31:44,2939.69,36.26,145.17,3048.6,Debit Card,pending,delivered,884 Main Street,Bangalore,850432,
89,868,2026-02-03 12:31:44,4672.61,127.48,227.26,4772.39,Cash on Delivery,failed,confirmed,656 Main Street,Bangalore,946952,
90,971,2026-04-18 12:31:44,6715.39,965.03,287.52,6037.88,Debit Card,failed,pending,262 Main Street,Jaipur,278593,
91,736,2026-02-12 12:31:44,5261.49,340.4,246.05,5167.14,Debit Card,failed,confirmed,905 Main Street,Kolkata,323717,
92,745,2026-01-24 12:31:44,1812.22,167.91,82.22,1726.53,Debit Card,completed,delivered,435 Main Street,Hyderabad,976258,Leave at door
